sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
0002,2,M,b,1994,April,Crystal Creek,5F,4M,"Alberta, Canada",Leopold,-,2002,N/A,December ,Wolf,"Blacktail Deer Plateau, YNP",,Petite Lake,,Yes,Yes,
0003,3,M,b,1994,April,Crystal Creek,5F,4M,"Alberta, Canada",None,-,1996,N/A,February 5,Legally Shot ,"Emigrant, MT",,Petite Lake,,Yes,Yes,
0004,4,M,b,1991?,?,Crystal Creek,?,?,"Alberta, Canada",Crystal Creek,-,1996,N/A,May 21,Wolf (Druid Peak),"Soda Butte Canyon, YNP",,Petite Lake,,Yes,Yes,
0005,5,F,g,1991?,?,Crystal Creek,?,?,"Alberta, Canada",None,-,N/A,2000,Unknown,N/A, Unknown,,Petite Lake,,Yes,Yes,
0006,6,M,b,1994,April,Crystal Creek,5F's sister?,4M,"Alberta, Canada",Crystal Creek,-,1998,N/A,August 25,Natural (Elk),"Pelican Valley, YNP",,Petite Lake,,Yes,Yes,
0007,7,F,g,1994,April,Rose Creek,9F,?,"Alberta, Canada",Leopold,-,2002,N/A,May 4,Wolf (Geode Creek),"Blacktail Deer Plateau, YNP",,Mcleod,,Yes,Yes,
0008,8,M,g,1994,April,Crystal Creek,5F,4M,"Alberta, Canada",Rose Creek,-,2000,N/A,July ,Natural (Elk),"Slough Creek, YNP",,Petite Lake,,Yes,Yes,
0009,9,F,b,1991?,?,Rose Creek,?,?,"Alberta, Canada",Beartooth,-,N/A,2002,Unknown,N/A,Northeast of YNP,Natasha,Mcleod,,Yes,Yes,
0010,10,M,g,1991?,?,Rose Creek,?,?,"Alberta, Canada",Rose Creek,-,1995,N/A,April 26,Illegally Shot ,"Red Lodge, Montana",,Ricks,,Yes,Yes,
0011,11,F,g,1993?,?,Soda Butte,?,?,"Alberta, Canada",Soda Butte,-,1996,N/A,March 30,Illegally Shot ,"Meeteetse, WY",,Berland,,Yes,Yes,
0012,12,M,b,1993?,?,Soda Butte,?,?,"Alberta, Canada",None,-,1996,N/A,February 11,Illegally Shot ,"Near Daniel, WY",,Berland,,Yes,Yes,
0013,13,M,b,1986?,?,Soda Butte,?,?,"Alberta, Canada",None,-,1997,N/A,March 19,Natural (Old Age),"Near Heart Lake, YNP",Old Blue,Berland,,Yes,Yes,
0014,14,F,g,1991?,?,Soda Butte,?,?,"Alberta, Canada",None,-,2000,N/A,March 1,Natural (Elk),"Soda Butte Canyon, YNP",,Berland,,Yes,Yes,
0015,15,M,b,1994?,?,Soda Butte,?,?,"Alberta, Canada",Washakie,-,1997,N/A,October 26,Legally Shot ,"DuNoir Valley, WY",,Berland,,Yes,Yes,
0016,16,F,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Sheep Mountain,Chief Joseph,2000,N/A,April,Human (Handling),North of YNP,,,,Yes,Yes,
0017,17,F,g,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Chief Joseph,-,1997,N/A,July 18,Natural (Impaled by stick),"Fawn Creek area, YNP",,,,Yes,Yes,
0018,18,F,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Rose Creek,-,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0019,19,F,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Rose Creek,-,1997,N/A,April ,Wolf (Druid Peak),"Eastern Little America, YNP",,,,Yes,Yes,
0020,20,M,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Rose Creek,-,1996,N/A,June 18,Wolf (Druid Peak),"Buffalo Creek, YNP",,,,Yes,Yes,
0021,21,M,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Druid Peak,-,2004,N/A,June 12,Natural (Old Age),"Specimen Ridge, YNP",,,,Yes,Yes,
0022,22,M,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",Rose Creek,-,1995,N/A,December 19,Vehicle,"Lamar Valley, YNP",,,,Yes,Yes,
0023,23,M,b,1995,April 26,Rose Creek,9F,10M,"Red Lodge, Montana",None,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0024,24,F,b,1995,April,Soda Butte,14F,15M,"Stillwater River, WY",Teton,-,2000,N/A,Unknown,Illegally Shot ,Wyoming,,,,Yes,Yes,
0026,26,F,g,1995,?,Nez Perce,27F,28M,"British Columbia, Canada",Washakie,-,1998,N/A,June 21,Legally Shot ,"DuNoir Valley, WY",,Halfway,,Yes,Yes,
0027,27,F,g,1992?,?,Nez Perce,?,?,"British Columbia, Canada",Nez Perce,-,1997,N/A,October 8,Legally Shot ,"South of Dillon, MT",,Halfway,,Yes,Yes,
0028,28,M,g,1992?,?,Nez Perce,?,?,"British Columbia, Canada",Nez Perce,-,1997,N/A,January 27,Illegally Shot ,"Grey Cliff, MT",,Halfway,,Yes,Yes,
0029,29,M,g,1995,?,Nez Perce,27F,28M,"British Columbia, Canada",Gros Ventre,-,N/A,2001,Unknown,N/A, Unknown,,Halfway,,Yes,Yes,
0030,30,F,g,1995,?,Nez Perce,27F,28M,"British Columbia, Canada",Thorofare,-,1998,N/A,January 9,Natural (Avalanche),"near Eagle Pass, YNP",,Halfway,,Yes,Yes,
0031,31,M,g,1995,?,Chief Joseph,?,?,"British Columbia, Canada",Druid Peak,-,1997,N/A,December 3,Illegally Shot ,"Crandall Creek, WY",,Kravac,,Yes,Yes,
0032,32,F,g,1992?,?,Chief Joseph,?,?,"British Columbia, Canada",Chief Joseph,-,1996,N/A,June 25,Vehicle,"Route 191, YNP",,Kravac,,Yes,Yes,
0033,33,F,b,1995,April,Chief Joseph,?,?,"British Columbia, Canada",Chief Joseph,-,2001,N/A,August 8,Vehicle,"Highway 191, Montana - W. Edge of YNP",,Kravac,,Yes,Yes,
0034,34,M,g,1994,April,Chief Joseph,?,?,"British Columbia, Canada",Chief Joseph,-,2001,N/A,November 28,Natural (Elk),"West Boundary, YNP",,Muskwa,,Yes,Yes,
0035,35,M,b,1992?,?,Lone Star,?,?,"British Columbia, Canada",Thorofare,-,1998,N/A,January 9,Natural (Avalanche),"near Fishing Bridge, YNP",,Chief,,Yes,Yes,
0036,36,F,b,1992?,?,Lone Star,?,?,"British Columbia, Canada",Lone Star,-,1996,N/A,April 14,Natural (Burns),"Lone Star Geyser Road, YNP",,Besa,,Yes,Yes,
0037,37,F,g,1995,?,Nez Perce,27F,28M,"British Columbia, Canada",Nez Perce,-,1997,N/A,November 26,Legally Shot ,"South of Dillon, MT",,Halfway,,Yes,Yes,
0038,38,M,g,1992?,?,Druid Peak,?,?,"British Columbia, Canada",Druid Peak,-,1997,N/A,December 3,Illegally Shot ,"Hoodoo Creek, WY",,Prophet,,Yes,Yes,
0039,39,F,g,1990?,?,Druid Peak,?,?,"British Columbia, Canada",None,-,1998,N/A,March 4,Illegally Shot ,"Sunlight Basin, Wy",,Besa,,Yes,Yes,
0040,40,F,g,1995,?,Druid Peak,39F,?,"British Columbia, Canada",Druid Peak,-,2000,N/A,May 8,Wolf (Druid Peak),"Lamar Valley, YNP",,Besa,,Yes,Yes,
0041,41,F,b,1995,?,Druid Peak,39F,?,"British Columbia, Canada",Sunlight Basin,-,2004,N/A,February 17,Legally Shot ,"Sunlight Basin, WY",,Besa,,Yes,Yes,
0042,42,F,b,1995,?,Druid Peak,39F,?,"British Columbia, Canada",Druid Peak,-,2004,N/A,February 2,Wolf (Mollie's),"Specimen Ridge West, Lamar Valley, YNP",,Besa,,Yes,Yes,
0043,43,M,g,1996,May 1,Soda Butte,14F,13M,"Greater Yellowstone Area, East of YNP",Soda Butte,-,1999,N/A,Unknown,Wolf,Unknown,,,,Yes,Yes,
0044,44,F,b,1996,May 1,Soda Butte,14F,13M,"Greater Yellowstone Area, East of YNP",None,-,2005,N/A,May 1,Unknown, Unknown,,,,Yes,Yes,
0045,45,F,?,1996,May 1,Soda Butte,14F,13M,"Greater Yellowstone Area, East of YNP",Soda Butte,-,1996,N/A,September 3,Unknown,"YNP, Trail Creek Pen",,,,Yes,Yes,
0046,46,M,g,1996,April 25,Nez Perce,27F,28M,"Near Nye, Montana",None,-,1999,N/A,Unknown,Natural (Illness),"Columbus, MN",,,,Yes,Yes,
0047,47,M,g,1996,April 25,Nez Perce,27F,28M,"Near Nye, Montana",Nez Perce,-,1996,N/A,September ,Vehicle,YNP Road,,,,Yes,Yes,
0048,48,F,g,1996,April 25,Nez Perce,27F,28M,"Near Nye, Montana",Nez Perce,-,2005,N/A,December 7,Wolf (Gibbon Medows),"Old Faithful Area, YNP",,,,Yes,Yes,
0049,49,?,g,1996,April 25,Nez Perce,27F,28M,"Near Nye, Montana",Nez Perce,-,N/A,1996,December ,N/A, Unknown,,,,Yes,Yes,
0050,50,?,g,1996,April 25,Nez Perce,27F,28M,"Near Nye, Montana",Nez Perce,-,N/A,1996,December ,N/A, Unknown,,,,Yes,Yes,
0051,51,F,g,1996,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1998,Unknown,N/A,Unknown,,,,Yes,Yes,
0052,52,M,b,1996,April,Rose Creek,9F,8M,"Little America, YNP",Sunlight Basin,-,N/A,2002,Unknown,N/A,Unknown,,,,Yes,Yes,
0053,53,F,b,1996,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1998,Unknown,N/A,Unknown,,,,Yes,Yes,
0054,54,?,g,1996,April 20,Leopold,7F,2M,"Blacktail Plateau, YNP",None,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0055,55,M,g,1996,April 20,Leopold,7F,2M,"Blacktail Plateau, YNP",None,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0056,56,M,b,1996,April 20,Leopold,7F,2M,"Blacktail Plateau, YNP",Leopold,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0063,63,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,October 26,Legally Shot ,West of YNP,,Sawtooth,,Yes,Yes,
0064,64,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,June 6,Legally Shot ,"Big Timber, Montana",,Sawtooth,,Yes,Yes,
0065,65,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,N/A,1997,October ,N/A,Yellostone Possibly,,Sawtooth,,Yes,Yes,
0066,66,M,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,July 14,Vehicle,Central YNP,,Sawtooth,,Yes,Yes,
0067,67,F,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1998,N/A,August 22,Legally Shot ,West of YNP,,Sawtooth,,Yes,Yes,
0068,68,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,September 9,Legally Shot ,"Upper Green River, WY",,Sawtooth,,Yes,Yes,
0069,69,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,July 3,Legally Shot ,"Near Leadore, ID",,Sawtooth,,Yes,Yes,
0070,70,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",Nez Perce,-,2005,N/A,June 21,Wolf (Mollie's),"West Central, YNP",,Sawtooth,,Yes,Yes,
0071,71,F,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,May 19,Human (Coyote Trap),"South of Ruby Reservoir, MT",,Sawtooth,,Yes,Yes,
0072,72,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,N/A,2004,Unknown,N/A, Unknown,,Sawtooth,,Yes,Yes,
0073,73,M,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0074,74,F,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0075,75,?,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0076,76,?,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0077,77,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Beartooth,-,N/A,2004,May ,N/A, Unknown,,,,Yes,Yes,
0078,78,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0079,79,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,,192,192,
0080,80,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,,193,193,
0081,81,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0082,82,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,,191,191,
0083,83,M,g,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,1998,N/A,May ,Natural (Elk), Unknown,,,,Yes,Yes,
0084,84,?,g,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0085,85,F,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,1998,N/A,March ,Wolf (Druid Peak),"Territorial Boundary Between Little America & Lamar Valley, YNP",,,,Yes,Yes,
0086,86,?,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0087,87,?,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0088,88,?,b,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0089,89,?,b,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0090,90,?,?,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0091,91,F,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",Nez Perce,-,1997,N/A,May ,Natural,"Nez Perce Pen, YNP",,,,Yes,Yes,
0092,92,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",Nez Perce,-,2001,N/A,January 13,Natural,Southwestern YNP,,,,Yes,Yes,
0093,93,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0094,94,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0095,95,F,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0096,96,F,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0097,97,?,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0098,98,?,b,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0099,99,?,b,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0100,100,?,?,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0101,101,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,Unknown,N/A, Unknown,,,,Yes,Yes,
0102,102,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,Unknown,N/A, Unknown,,,,Yes,Yes,
0103,103,F,b,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",None,Agate Creek,2004,N/A,March 28,Vehicle,"Elk Creek, YNP",,,,Yes,Yes,
0104,104,M,b,1997,April,Druid Peak,42F,38M,"Lamar Valley, YNP",None,"Crystal Creek, Soda Butte",N/A,2001,May ,N/A, Unknown,,,,Yes,Yes,
0105,105,F,b,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",Slough Creek,-,2003,N/A,May 6,Wolf (Rose Creek),"Absaroka-Beartooth Wilderness, N. of YNP",,,,Yes,Yes,
0106,106,F,g,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",None,Geode Creek,N/A,2005,Unknown,N/A, Unknown,,,,Yes,Yes,
0107,107,?,g,1997,April,Druid Peak,42F(?),38M,"Lamar Valley, YNP",Druid Peak,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0108,108,M,b,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,September ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0109,109,?,b,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,N/A,1998,May 21,N/A, Unknown,,,,Yes,Yes,
0110,110,?,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,December 16,Unknown,"Near Highway 191, Western Edge of YNP",,,,Yes,Yes,
0111,111,F,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1998,N/A,May 21,Unknown (Disease?), Unknown,,,,Yes,Yes,
0112,112,?,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,December 16,Unknown,"Near Highway 191, Western Edge of YNP",,,,Yes,Yes,
0113,113,M,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Agate Creek,-,2007,N/A,October ,Natural (Old Age),"Agate Creek Territory, YNP",,,,Yes,Yes,
0114,114,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,April 30,N/A, Unknown,,,,Yes,Yes,
0115,115,F,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Taylor Peak,-,N/A,2005,May ,N/A, Unknown,,,,Yes,Yes,
0116,116,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,April 30,N/A, Unknown,,,,Yes,Yes,
0117,117,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1997,December 16,N/A, Unknown,,,,Yes,Yes,
0118,118,M,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Sheep Mountain,-,N/A,1999,April ,N/A,North of YNP,,,,Yes,Yes,
0119,119,?,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A,"Pelican Valley, YNP",,,,Yes,Yes,
0120,120,M,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Soda Butte,-,N/A,2001,May ,N/A,Southern YNP,,,,Yes,Yes,
0121,121,?,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0122,122,M,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0123,123,M,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,1999,N/A,Unknown,Wolf (Crystal Creek),"Pelican Valley area, YNP",,,,Yes,Yes,
0124,124,M,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,2000,N/A,unknown,Unknown,Unknown,,,,Yes,Yes,
0125,125,?,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0126,126,F,b,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,N/A,2009, ,N/A,Unknown,,,,Yes,Yes,
0127,127,?,g,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Thorofare,-,1998,N/A,January 9,Natural (Avalanche),Southeastern Yellowstone National Park,,,,Yes,Yes,
0128,128,M,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0129,129,F,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Gros Ventre,-,2000,N/A,April 30,Legally Shot ,Grand Teton National Park Area,,,,Yes,Yes,
0130,130,?,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,unknown,N/A, Unknown,,,,Yes,Yes,
0131,131,?,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,unknown,N/A, Unknown,,,,Yes,Yes,
0132,132,M,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",None,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0133,133,M,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",Teton,-,1999,N/A,unknown,Vehicle,Near Grand Teton National Park,,,,Yes,Yes,
0134,134,?,g,1997,April,Washakie,26F,15M,"DuNoir Valley near Dubois, WY",None,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0135,135,?,g,1997,April,Washakie,26F,15M,"DuNoir Valley near Dubois, WY",None,-,1998,N/A,June 21,Legally Shot ,"DuNoir Valley, WY",,,,Yes,Yes,
0136,136,F,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0137,137,F,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Gros Ventre,-,N/A,2001,May 7,N/A, Unknown,,,,Yes,Yes,
0138,138,?,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",None,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0139,139,?,b,1998,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,1998,March ,N/A,"Lamar Valley, YNP",,,,Yes,Yes,
0140,140,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,unknown,N/A, Unknown,,,,Yes,Yes,
0141,141,M,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,1998,N/A,October ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0142,142,F,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,1998,N/A,November ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0143,143,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0144,144,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0145,145,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0146,146,?,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0147,147,M,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Washakie,-,N/A,2002,Unknown,N/A, Unknown,,,,Yes,Yes,Charts list as a member of Washakie untill 2002
0148,148,F,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0149,149,?,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0150,150,M,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",None,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0151,151,F,g,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Cougar Creek,-,2008,N/A,October 2,Natural (Disease),"West Central, YNP",,,,Yes,Yes,
0152,152,F,g,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Swan Lake,-,2005,N/A,July 23,Wolf ,"Swan Lake Flat, YNP",,,,Yes,Yes,
0153,153,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Absaroka,-,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0154,154,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",None,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0155,155,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,2001,N/A,March,Unknown, Unknown,,,,Yes,Yes,
0156,156,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0157,157,?,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0158,158,?,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0159,159,?,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0160,160,F,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,1998,N/A,unknown,Human, Unknown,,,,Yes,Yes,
0161,161,M,g,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Freezeout,-,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0162,162,M,g,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Green River,Tower,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0163,163,M,g,1998,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,2000,N/A,January 12,unknown, Unknown,,,,Yes,Yes,
0164,164,M,b,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Absaroka,-,N/A,2002,unknown,N/A, Unknown,,,,Yes,Yes,
0165,165,M,b,1997?,?,?,?,?,Location Unknown,Sheep Mountain,-,1999,N/A,unknown,Legally Shot , Unknown,,,,Yes,Yes,
0166,166,?,b,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0167,167,F,g,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Shot ,"Sheep Mountain Area, North of YNP",,,,Yes,Yes,
